Scenario,Prediction,Confidence,Ground Truth,Status,LPTN_1_vi,LPTN_1_vi_col,LPTN_1_vi_selected_prob,LPTN_1_i,LPTN_1_i_col,LPTN_1_i_selected_prob,GPTN_1,GPTN_1_col,GPTN_1_selected_prob,LPTN_1_ii,LPTN_1_ii_col,LPTN_1_ii_selected_prob,LPTN_1_iv,LPTN_1_iv_col,LPTN_1_iv_selected_prob,LPTN_1_viii,LPTN_1_viii_col,LPTN_1_viii_selected_prob,Physical_Anomaly,Physical_Anomaly_col,Physical_Anomaly_selected_prob,Network_Manipulation,Network_Manipulation_col,Network_Manipulation_selected_prob,Deviation_in_Dispatch,Deviation_in_Dispatch_col,Deviation_in_Dispatch_selected_prob,GPTN_3,GPTN_3_col,GPTN_3_selected_prob,Execution_Integrity,Execution_Integrity_col,Execution_Integrity_selected_prob,GPTN_2,GPTN_2_col,GPTN_2_selected_prob,LPTN_1_iii,LPTN_1_iii_col,LPTN_1_iii_selected_prob,Deviation_in_Response,Deviation_in_Response_col,Deviation_in_Response_selected_prob,Program_Anomaly,Program_Anomaly_col,Program_Anomaly_selected_prob,LPTN_1_x,LPTN_1_x_col,LPTN_1_x_selected_prob,LPTN_1_v,LPTN_1_v_col,LPTN_1_v_selected_prob,LPTN_1_ix,LPTN_1_ix_col,LPTN_1_ix_selected_prob,Root_Causes,Root_Causes_col,Root_Causes_selected_prob,GPTN_5,GPTN_5_col,GPTN_5_selected_prob
6,Memory_Corruption,0.7000148500000001,Memory_Corruption,SUCCESS,Found,0,0.8,Found,0,0.8,Not_Found,0,0.5,Found,0,0.9,Found,0,0.9,Not_Found,0,0.3,No,1,0.9,No,3,0.95,Yes,7,0.8,Not_Found,0,0.5,Compromised,6,0.8,Not_Found,0,0.5,Found,0,0.9,No,0,0.95,No,1,0.9,Not_Found,1,0.5,Found,0,0.9,Not_Found,1,0.5,Memory_Corruption,5,0.8,Not_Found,0,0.5
3,Memory_Corruption,0.70214318125,Memory_Corruption,SUCCESS,Found,0,0.8,Found,0,0.8,Not_Found,0,0.5,Found,0,0.9,Found,0,0.9,Found,0,0.7,No,1,0.9,No,3,0.95,No,0,0.95,Found,0,0.5,Compromised,3,0.75,Not_Found,0,0.5,Found,0,0.9,No,0,0.95,Yes,0,0.9,Found,0,0.7,Found,0,0.9,Found,0,0.7,Memory_Corruption,5,0.8,Not_Found,0,0.5
5,Memory_Corruption,0.7165292875,Memory_Corruption,SUCCESS,Not_Found,0,0.2,Not_Found,0,0.2,Not_Found,0,0.5,Not_Found,1,0.9,Not_Found,1,0.9,Found,1,0.5,No,1,0.9,No,3,0.95,No,8,0.65,Not_Found,0,0.5,Compromised,5,0.8,Not_Found,0,0.5,Not_Found,1,0.9,Yes,31,0.9,No,1,0.9,Found,0,0.7,Not_Found,1,0.9,Found,0,0.7,Memory_Corruption,5,0.8,Not_Found,0,0.5
4,System_Fault,0.469207315625,System_Fault,FAILURE,Found,0,0.8,Found,0,0.8,Not_Found,0,0.5,Found,0,0.9,Found,0,0.9,Found,0,0.7,Yes,0,0.85,No,3,0.95,No,0,0.95,Not_Found,0,0.5,Normal,7,0.8,Not_Found,0,0.5,Found,0,0.9,No,0,0.95,No,1,0.9,Found,0,0.7,Found,0,0.9,Found,0,0.7,System_Fault,6,0.7,Found,0,0.5
22,Memory_Corruption,0.4177807125,Memory_Corruption,FAILURE,Not_Found,0,0.2,Found,0,0.8,Not_Found,0,0.5,Found,0,0.9,Found,0,0.9,Not_Found,1,0.5,No,1,0.9,Yes,2,0.85,Yes,15,0.9,Found,0,0.5,Compromised,2,0.85,Found,0,0.5,Found,0,0.9,No,0,0.95,Yes,0,0.9,Not_Found,1,0.5,Found,0,0.9,Not_Found,1,0.5,Memory_Corruption,1,0.4,Not_Found,0,0.5
60,Memory_Corruption,0.604642375,Memory_Corruption,SUCCESS,Found,0,0.8,Found,0,0.8,Not_Found,0,0.5,Not_Found,0,0.1,Found,0,0.9,Not_Found,0,0.3,Yes,0,0.85,No,3,0.95,No,4,0.65,Found,0,0.5,Compromised,1,0.85,Not_Found,0,0.5,Found,1,0.1,Yes,9,0.5,Yes,0,0.9,Found,0,0.7,Not_Found,0,0.1,Found,1,0.5,Memory_Corruption,4,0.7,Found,0,0.5
9,Memory_Corruption,0.737000125,Memory_Corruption,SUCCESS,Not_Found,0,0.2,Found,0,0.8,Not_Found,0,0.5,Found,0,0.9,Not_Found,0,0.1,Not_Found,1,0.5,No,1,0.9,No,3,0.95,Yes,15,0.9,Found,0,0.5,Compromised,0,0.9,Not_Found,0,0.5,Found,0,0.9,Yes,3,0.5,Yes,0,0.9,Not_Found,1,0.5,Not_Found,1,0.9,Not_Found,1,0.5,Memory_Corruption,5,0.8,Not_Found,0,0.5
26,FDI,0.42214075,Memory_Corruption,FAILURE,Found,0,0.8,Not_Found,0,0.2,Found,0,0.5,Found,1,0.1,Found,0,0.9,Found,0,0.7,No,1,0.9,Yes,0,0.95,Yes,3,0.6,Found,0,0.5,Compromised,0,0.9,Found,0,0.5,Found,0,0.9,Yes,17,0.5,Yes,0,0.9,Not_Found,1,0.5,Not_Found,0,0.1,Not_Found,0,0.3,Memory_Corruption,1,0.4,Not_Found,0,0.5
73,Memory_Corruption,0.7243714375,Memory_Corruption,SUCCESS,Found,0,0.8,Found,0,0.8,Not_Found,0,0.5,Found,0,0.9,Not_Found,1,0.9,Found,0,0.7,No,1,0.9,No,3,0.95,No,2,0.65,Found,0,0.5,Compromised,1,0.85,Not_Found,0,0.5,Not_Found,0,0.1,Yes,6,0.5,Yes,0,0.9,Found,1,0.5,Found,1,0.1,Not_Found,0,0.3,Memory_Corruption,5,0.8,Not_Found,0,0.5
55,Memory_Corruption,0.6080113,Memory_Corruption,SUCCESS,Not_Found,0,0.2,Found,0,0.8,Not_Found,0,0.5,Found,0,0.9,Not_Found,0,0.1,Found,1,0.5,Yes,0,0.85,No,3,0.95,Yes,9,0.6,Found,0,0.5,Compromised,2,0.85,Not_Found,0,0.5,Found,0,0.9,No,2,0.7,Yes,0,0.9,Not_Found,0,0.3,Found,1,0.1,Found,0,0.7,Memory_Corruption,4,0.7,Found,0,0.5
